bfs_GDEHISTID;bfs_GDENR;bfs_GdeName;dhs_name;dhs_id;dhs_category;dhs_url
11870;5452;Bellerive (VD);Bellerive (VD);dhs-002309;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002309/2017-02-08/
11884;5581;Belmont-sur-Lausanne;Belmont-sur-Lausanne;dhs-002403;commune;https://hls-dhs-dss.ch/fr/articles/002403/2004-05-10/
11885;5902;Belmont-sur-Yverdon;Belmont-sur-Yverdon;dhs-002623;commune;https://hls-dhs-dss.ch/fr/articles/002623/2004-05-10/
11248;5512;Bercher;Bercher;dhs-002355;commune;https://hls-dhs-dss.ch/fr/articles/002355/2004-05-11/
11863;5424;Berolle;Berolle;dhs-002294;commune;https://hls-dhs-dss.ch/fr/articles/002294/2004-09-22/
11906;5471;Bettens;Bettens;dhs-002321;commune;https://hls-dhs-dss.ch/fr/articles/002321/2004-04-29/
11912;5402;Bex;Bex (commune);dhs-002277;commune;https://hls-dhs-dss.ch/fr/articles/002277/2004-09-30/
11895;5903;Bioley-Magnoux;Bioley-Magnoux;dhs-002624;commune;https://hls-dhs-dss.ch/fr/articles/002624/2004-04-30/
11887;5513;Bioley-Orjulaz;Bioley-Orjulaz;dhs-002356;commune;https://hls-dhs-dss.ch/fr/articles/002356/2004-09-30/
11894;5425;Bière;Bière;dhs-002295;commune;https://hls-dhs-dss.ch/fr/articles/002295/2007-12-24/
11813;5881;Blonay;Blonay;dhs-002612;commune;https://hls-dhs-dss.ch/fr/articles/002612/2014-07-03/
11816;5747;Bofflens;Bofflens;dhs-002531;commune;https://hls-dhs-dss.ch/fr/articles/002531/2004-05-03/
11794;5705;Bogis-Bossey;Bogis-Bossey;dhs-002497;commune;https://hls-dhs-dss.ch/fr/articles/002497/2004-05-03/
11793;5551;Bonvillars;Bonvillars;dhs-002383;commune;https://hls-dhs-dss.ch/fr/articles/002383/2004-10-06/
11795;5706;Borex;Borex;dhs-002498;commune;https://hls-dhs-dss.ch/fr/articles/002498/2004-10-12/
11820;5514;Bottens;Bottens;dhs-002357;commune;https://hls-dhs-dss.ch/fr/articles/002357/2004-05-04/
9570;9999;Bougy;Bougy-Villars;dhs-002296;commune;https://hls-dhs-dss.ch/fr/articles/002296/2004-11-04/
11844;5661;Boulens;Boulens;dhs-002461;commune;https://hls-dhs-dss.ch/fr/articles/002461/2010-04-01/
11847;5472;Bournens;Bournens;dhs-002322;commune;https://hls-dhs-dss.ch/fr/articles/002322/2002-12-18/
11848;5473;Boussens;Boussens;dhs-002323;commune;https://hls-dhs-dss.ch/fr/articles/002323/2002-12-18/
11823;5622;Bremblens;Bremblens;dhs-002428;commune;https://hls-dhs-dss.ch/fr/articles/002428/2004-05-04/
11835;5662;Brenles;Brenles;dhs-002462;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002462/2017-01-13/
11819;5515;Bretigny-sur-Morrens;Bretigny-sur-Morrens;dhs-002358;commune;https://hls-dhs-dss.ch/fr/articles/002358/2004-10-15/
11829;5748;Bretonnières;Bretonnières;dhs-002532;commune;https://hls-dhs-dss.ch/fr/articles/002532/2004-10-15/
9935;9999;Brétigny-Saint-Barthélemy;Saint-Barthélemy (VD);dhs-002378;commune;https://hls-dhs-dss.ch/fr/articles/002378/2011-02-08/
11452;5623;Buchillon;Buchillon (VD);dhs-002429;commune;https://hls-dhs-dss.ch/fr/articles/002429/2004-10-25/
11463;5552;Bullet;Bullet;dhs-002384;commune;https://hls-dhs-dss.ch/fr/articles/002384/2003-02-04/
11517;5852;Bursinel;Bursinel;dhs-002597;commune;https://hls-dhs-dss.ch/fr/articles/002597/2003-03-14/
11509;5853;Bursins;Bursins;dhs-002598;commune;https://hls-dhs-dss.ch/fr/articles/002598/2004-05-05/
11501;5854;Burtigny;Burtigny;dhs-002599;commune;https://hls-dhs-dss.ch/fr/articles/002599/2004-11-03/
9557;9999;Bussigny-sur-Morges;Bussigny-près-Lausanne;dhs-002430;commune;https://hls-dhs-dss.ch/fr/articles/002430/2011-05-05/
11513;5781;Bussigny-sur-Oron;Bussigny-sur-Oron;dhs-002550;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002550/2017-01-05/
11242;5625;Bussy-sur-Morges;Bussy-Chardonney;dhs-002431;commune;https://hls-dhs-dss.ch/fr/articles/002431/2003-03-14/
11508;5663;Bussy-sur-Moudon;Bussy-sur-Moudon;dhs-002463;commune;https://hls-dhs-dss.ch/fr/articles/002463/2004-11-03/
11410;5782;Carrouge (VD);Carrouge (VD);dhs-002551;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002551/2017-01-04/
11399;5811;Cerniaz (VD);Cerniaz (VD);dhs-002573;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002573/2017-01-05/
11395;5453;Chabrey;Chabrey;dhs-002310;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002310/2019-04-03/
11398;5904;Chamblon;Chamblon;dhs-002625;commune;https://hls-dhs-dss.ch/fr/articles/002625/2003-11-10/
11443;5553;Champagne;Champagne (VD);dhs-002385;commune;https://hls-dhs-dss.ch/fr/articles/002385/2005-05-24/
11436;5454;Champmartin;Champmartin;dhs-002311;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002311/2017-02-06/
11437;5812;Champtauroz;Champtauroz;dhs-002574;commune;https://hls-dhs-dss.ch/fr/articles/002574/2005-04-27/
11438;5905;Champvent;Champvent (commune);dhs-002626;commune;https://hls-dhs-dss.ch/fr/articles/002626/2017-01-04/
11442;5906;Chanéaz;Chanéaz;dhs-002627;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002627/2017-01-11/
9575;9999;Chapelle (VD);Chapelle-sur-Moudon;dhs-002464;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002464/2017-01-04/
11446;5882;Chardonne;Chardonne;dhs-002613;commune;https://hls-dhs-dss.ch/fr/articles/002613/2014-07-22/
11243;5626;Chardonney-sur-Morges;Chardonney-sur-Morges;dhs-003325;ancienne commune;https://hls-dhs-dss.ch/fr/articles/003325/1998-07-13/
11421;5707;Chavannes-de-Bogis;Chavannes-de-Bogis;dhs-002499;commune;https://hls-dhs-dss.ch/fr/articles/002499/2004-01-16/
11422;5708;Chavannes-des-Bois;Chavannes-des-Bois;dhs-002500;commune;https://hls-dhs-dss.ch/fr/articles/002500/2003-12-29/
11423;5907;Chavannes-le-Chêne;Chavannes-le-Chêne;dhs-002628;commune;https://hls-dhs-dss.ch/fr/articles/002628/2017-05-01/
11433;5475;Chavannes-le-Veyron;Chavannes-le-Veyron;dhs-002325;commune;https://hls-dhs-dss.ch/fr/articles/002325/2003-12-29/
11417;5627;Chavannes-près-Renens;Chavannes-près-Renens;dhs-002432;commune;https://hls-dhs-dss.ch/fr/articles/002432/2005-07-14/
11428;5665;Chavannes-sur-Moudon;Chavannes-sur-Moudon;dhs-002465;commune;https://hls-dhs-dss.ch/fr/articles/002465/2003-12-29/
11429;5749;Chavornay;Chavornay;dhs-002533;commune;https://hls-dhs-dss.ch/fr/articles/002533/2017-01-11/
11603;5666;Chesalles-sur-Moudon;Chesalles-sur-Moudon;dhs-002466;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002466/2017-01-11/
11604;5784;Chesalles-sur-Oron;Chesalles-sur-Oron;dhs-002553;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002553/2017-01-05/
11605;5909;Cheseaux-Noréaz;Cheseaux-Noréaz;dhs-002630;commune;https://hls-dhs-dss.ch/fr/articles/002630/2003-12-30/
11606;5582;Cheseaux-sur-Lausanne;Cheseaux-sur-Lausanne;dhs-002404;commune;https://hls-dhs-dss.ch/fr/articles/002404/2005-05-04/
11609;5403;Chessel;Chessel;dhs-002278;commune;https://hls-dhs-dss.ch/fr/articles/002278/2004-01-27/
11601;5476;Chevilly;Chevilly;dhs-002326;commune;https://hls-dhs-dss.ch/fr/articles/002326/2005-07-14/
11611;5813;Chevroux;Chevroux;dhs-002575;commune;https://hls-dhs-dss.ch/fr/articles/002575/2019-04-03/
11612;5601;Chexbres;Chexbres;dhs-002415;commune;https://hls-dhs-dss.ch/fr/articles/002415/2005-07-14/
11593;5628;Chigny;Chigny;dhs-002433;commune;https://hls-dhs-dss.ch/fr/articles/002433/2003-12-30/
11449;5841;Château-d'Oex;Château-d'Œx;dhs-002593;commune;https://hls-dhs-dss.ch/fr/articles/002593/2017-05-01/
11441;5783;Châtillens;Châtillens;dhs-002552;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002552/2017-01-05/
11607;5709;Chéserex;Chéserex;dhs-002501;commune;https://hls-dhs-dss.ch/fr/articles/002501/2003-12-30/
9578;9999;Chêne-Paquier;Chêne-Pâquier;dhs-002629;commune;https://hls-dhs-dss.ch/fr/articles/002629/2005-07-14/
11589;5629;Clarmont;Clarmont;dhs-002434;commune;https://hls-dhs-dss.ch/fr/articles/002434/2003-12-22/
11585;5710;Coinsins;Coinsins;dhs-002502;commune;https://hls-dhs-dss.ch/fr/articles/002502/2003-12-23/
11644;5630;Colombier (VD);Colombier (VD);dhs-002435;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002435/2017-01-04/
11637;5814;Combremont-le-Grand;Combremont-le-Grand;dhs-002576;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002576/2017-01-12/
11638;5815;Combremont-le-Petit;Combremont-le-Petit;dhs-002577;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002577/2017-01-05/
11639;5711;Commugny;Commugny;dhs-002503;commune;https://hls-dhs-dss.ch/fr/articles/002503/2005-08-09/
11641;5554;Concise;Concise;dhs-002386;commune;https://hls-dhs-dss.ch/fr/articles/002386/2019-04-03/
11643;5455;Constantine;Constantine;dhs-002312;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002312/2017-01-12/
11646;5712;Coppet;Coppet;dhs-002504;commune;https://hls-dhs-dss.ch/fr/articles/002504/2004-03-02/
11647;5404;Corbeyrier;Corbeyrier;dhs-002279;commune;https://hls-dhs-dss.ch/fr/articles/002279/2004-03-02/
11650;5785;Corcelles-le-Jorat;Corcelles-le-Jorat;dhs-002554;commune;https://hls-dhs-dss.ch/fr/articles/002554/2020-02-14/
11627;5555;Corcelles-près-Concise;Corcelles-près-Concise;dhs-002387;commune;https://hls-dhs-dss.ch/fr/articles/002387/2019-04-03/
11625;5816;Corcelles-près-Payerne;Corcelles-près-Payerne;dhs-002578;commune;https://hls-dhs-dss.ch/fr/articles/002578/2004-03-02/
11642;5751;Corcelles-sur-Chavornay;Corcelles-sur-Chavornay;dhs-002535;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002535/2017-01-11/
11630;5667;Correvon;Correvon;dhs-002467;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002467/2017-01-04/
11632;5883;Corseaux;Corseaux;dhs-002614;commune;https://hls-dhs-dss.ch/fr/articles/002614/2005-08-11/
9579;9999;Corsier (VD);Corsier-sur-Vevey;dhs-002615;commune;https://hls-dhs-dss.ch/fr/articles/002615/2010-09-23/
11539;5477;Cossonay;Cossonay (commune);dhs-002327;commune;https://hls-dhs-dss.ch/fr/articles/002327/2018-02-05/
11550;5478;Cottens (VD);Cottens (VD);dhs-002328;commune;https://hls-dhs-dss.ch/fr/articles/002328/2004-03-03/
11541;5713;Crans-près-Céligny;Crans-près-Céligny;dhs-002505;commune;https://hls-dhs-dss.ch/fr/articles/002505/2004-03-16/
11519;5714;Crassier;Crassier;dhs-002506;commune;https://hls-dhs-dss.ch/fr/articles/002506/2005-08-17/
11520;5668;Cremin;Cremin;dhs-002468;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002468/2017-01-11/
11525;5583;Crissier;Crissier;dhs-002405;commune;https://hls-dhs-dss.ch/fr/articles/002405/2005-08-17/
11518;5910;Cronay;Cronay;dhs-002631;commune;https://hls-dhs-dss.ch/fr/articles/002631/2011-01-27/
11527;5752;Croy;Croy;dhs-002536;commune;https://hls-dhs-dss.ch/fr/articles/002536/2005-08-17/
11528;5479;Cuarnens;Cuarnens;dhs-002329;commune;https://hls-dhs-dss.ch/fr/articles/002329/2005-08-17/
11529;5911;Cuarny;Cuarny;dhs-002632;commune;https://hls-dhs-dss.ch/fr/articles/002632/2010-04-01/
11530;5456;Cudrefin;Cudrefin;dhs-002313;commune;https://hls-dhs-dss.ch/fr/articles/002313/2017-01-04/
11552;5516;Cugy (VD);Cugy (VD);dhs-002359;commune;https://hls-dhs-dss.ch/fr/articles/002359/2005-09-08/
11577;5602;Cully;Cully;dhs-002416;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002416/2017-05-04/
11572;5669;Curtilles;Curtilles;dhs-002469;commune;https://hls-dhs-dss.ch/fr/articles/002469/2005-08-17/
11576;5480;Daillens;Daillens;dhs-002330;commune;https://hls-dhs-dss.ch/fr/articles/002330/2016-01-06/
11553;5631;Denens;Denens;dhs-002436;commune;https://hls-dhs-dss.ch/fr/articles/002436/2005-08-22/
11554;5670;Denezy;Denezy;dhs-002470;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002470/2017-01-04/
11555;5632;Denges;Denges;dhs-002437;commune;https://hls-dhs-dss.ch/fr/articles/002437/2005-08-22/
11432;5481;Dizy;Dizy;dhs-002331;commune;https://hls-dhs-dss.ch/fr/articles/002331/2006-01-24/
12190;5517;Dommartin;Dommartin;dhs-002360;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002360/2017-01-04/
12188;5671;Dompierre (VD);Dompierre (VD);dhs-002471;commune;https://hls-dhs-dss.ch/fr/articles/002471/2004-04-14/
12171;5457;Donatyre;Donatyre;dhs-002314;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002314/2017-01-04/
12195;5913;Donneloye;Donneloye;dhs-002634;commune;https://hls-dhs-dss.ch/fr/articles/002634/2017-01-04/
12200;5715;Duillier;Duillier;dhs-002507;commune;https://hls-dhs-dss.ch/fr/articles/002507/2004-07-27/
12198;5855;Dully;Dully;dhs-002600;commune;https://hls-dhs-dss.ch/fr/articles/002600/2006-02-21/
11575;5912;Démoret;Démoret;dhs-002633;commune;https://hls-dhs-dss.ch/fr/articles/002633/2004-03-24/
12137;5518;Echallens;Echallens (commune);dhs-002361;commune;https://hls-dhs-dss.ch/fr/articles/002361/2006-02-28/
12136;5633;Echandens;Echandens;dhs-002438;commune;https://hls-dhs-dss.ch/fr/articles/002438/2004-07-28/
12121;5634;Echichens;Echichens;dhs-002439;commune;https://hls-dhs-dss.ch/fr/articles/002439/2017-01-04/
12133;5519;Eclagnens;Eclagnens;dhs-002362;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002362/2017-02-06/
12145;5482;Eclépens;Eclépens;dhs-002332;commune;https://hls-dhs-dss.ch/fr/articles/002332/2004-07-28/
12131;5787;Ecoteaux;Ecoteaux;dhs-002556;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002556/2017-01-05/
12129;5635;Ecublens (VD);Ecublens (VD);dhs-002440;commune;https://hls-dhs-dss.ch/fr/articles/002440/2014-08-07/
11225;5753;Envy;Envy;dhs-003326;ancienne commune;https://hls-dhs-dss.ch/fr/articles/003326/2004-11-01/
12308;5584;Epalinges;Epalinges;dhs-002406;commune;https://hls-dhs-dss.ch/fr/articles/002406/2004-09-02/
12313;5914;Ependes (VD);Ependes (VD);dhs-002635;commune;https://hls-dhs-dss.ch/fr/articles/002635/2006-03-14/
12311;5603;Epesses;Epesses;dhs-002417;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002417/2017-02-02/
12224;5915;Essert-Pittet;Essert-Pittet;dhs-002636;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002636/2017-01-11/
12223;5916;Essert-sous-Champvent;Essert-sous-Champvent;dhs-002637;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002637/2017-01-04/
12257;5788;Essertes;Essertes;dhs-002557;commune;https://hls-dhs-dss.ch/fr/articles/002557/2003-01-08/
12259;5856;Essertines-sur-Rolle;Essertines-sur-Rolle;dhs-002601;commune;https://hls-dhs-dss.ch/fr/articles/002601/2004-11-09/
12234;5520;Essertines-sur-Yverdon;Essertines-sur-Yverdon;dhs-002363;commune;https://hls-dhs-dss.ch/fr/articles/002363/2004-08-23/
12265;5521;Etagnières;Etagnières;dhs-002364;commune;https://hls-dhs-dss.ch/fr/articles/002364/2004-11-09/
12264;5636;Etoy;Etoy;dhs-002441;commune;https://hls-dhs-dss.ch/fr/articles/002441/2014-04-03/
12254;5716;Eysins;Eysins;dhs-002508;commune;https://hls-dhs-dss.ch/fr/articles/002508/2004-11-17/
11947;5458;Faoug;Faoug;dhs-002315;commune;https://hls-dhs-dss.ch/fr/articles/002315/2004-11-17/
11979;5789;Ferlens (VD);Ferlens (VD);dhs-002558;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002558/2017-01-04/
11977;5483;Ferreyres;Ferreyres;dhs-002333;commune;https://hls-dhs-dss.ch/fr/articles/002333/2006-04-10/
11982;5522;Fey;Fey;dhs-002365;commune;https://hls-dhs-dss.ch/fr/articles/002365/2006-04-10/
12016;5556;Fiez;Fiez;dhs-002388;commune;https://hls-dhs-dss.ch/fr/articles/002388/2005-01-20/
11929;5557;Fontaines-sur-Grandson;Fontaines-sur-Grandson;dhs-002389;commune;https://hls-dhs-dss.ch/fr/articles/002389/2007-05-03/
11928;5558;Fontanezier;Fontanezier;dhs-002390;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002390/2017-01-05/
11925;5604;Forel (Lavaux);Forel (Lavaux);dhs-002418;commune;https://hls-dhs-dss.ch/fr/articles/002418/2003-05-19/
11924;5672;Forel-sur-Lucens;Forel-sur-Lucens;dhs-002472;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002472/2017-01-11/
11932;5717;Founex;Founex;dhs-002509;commune;https://hls-dhs-dss.ch/fr/articles/002509/2007-05-01/
11950;5523;Froideville;Froideville;dhs-002366;commune;https://hls-dhs-dss.ch/fr/articles/002366/2003-05-19/
11990;5427;Féchy;Féchy;dhs-002297;commune;https://hls-dhs-dss.ch/fr/articles/002297/2005-01-11/
12098;5718;Genolier;Genolier;dhs-002510;commune;https://hls-dhs-dss.ch/fr/articles/002510/2007-07-11/
12025;5559;Giez;Giez;dhs-002391;commune;https://hls-dhs-dss.ch/fr/articles/002391/2004-06-28/
12034;5857;Gilly;Gilly;dhs-002602;commune;https://hls-dhs-dss.ch/fr/articles/002602/2005-11-18/
12069;5428;Gimel;Gimel;dhs-002298;commune;https://hls-dhs-dss.ch/fr/articles/002298/2011-08-03/
12068;5719;Gingins;Gingins;dhs-002511;commune;https://hls-dhs-dss.ch/fr/articles/002511/2005-11-18/
12046;5720;Givrins;Givrins;dhs-002512;commune;https://hls-dhs-dss.ch/fr/articles/002512/2005-10-14/
12058;5721;Gland;Gland;dhs-002513;commune;https://hls-dhs-dss.ch/fr/articles/002513/2005-11-21/
12048;5484;Gollion;Gollion;dhs-002334;commune;https://hls-dhs-dss.ch/fr/articles/002334/2007-04-05/
12026;5917;Gossens;Gossens;dhs-002638;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002638/2017-01-06/
12038;5524;Goumoens-la-Ville;Goumoens-la-Ville;dhs-002367;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002367/2017-02-06/
12039;5525;Goumoens-le-Jux;Goumoens-le-Jux;dhs-002368;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002368/2017-02-06/
12043;5485;Grancy;Grancy;dhs-002335;commune;https://hls-dhs-dss.ch/fr/articles/002335/2005-06-15/
12072;5817;Grandcour;Grandcour;dhs-002579;commune;https://hls-dhs-dss.ch/fr/articles/002579/2007-07-17/
12059;5560;Grandevent;Grandevent;dhs-002392;commune;https://hls-dhs-dss.ch/fr/articles/002392/2006-01-10/
12101;5561;Grandson;Grandson (commune);dhs-002393;commune;https://hls-dhs-dss.ch/fr/articles/002393/2019-04-03/
12105;5605;Grandvaux;Grandvaux;dhs-002419;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002419/2017-01-04/
9582;9999;Granges (VD);Granges-près-Marnand;dhs-002580;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002580/2017-01-05/
12083;5722;Grens;Grens;dhs-002514;commune;https://hls-dhs-dss.ch/fr/articles/002514/2006-01-24/
12088;5918;Gressy;Gressy;dhs-002639;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002639/2017-01-05/
11962;5405;Gryon;Gryon;dhs-002280;commune;https://hls-dhs-dss.ch/fr/articles/002280/2008-03-11/
12242;5819;Henniez;Henniez;dhs-002581;commune;https://hls-dhs-dss.ch/fr/articles/002581/2010-12-16/
12314;5673;Hermenches;Hermenches;dhs-002473;commune;https://hls-dhs-dss.ch/fr/articles/002473/2011-03-31/
12660;5885;Jongny;Jongny;dhs-002616;commune;https://hls-dhs-dss.ch/fr/articles/002616/2009-02-17/
12640;5585;Jouxtens-Mézery;Jouxtens-Mézery;dhs-002407;commune;https://hls-dhs-dss.ch/fr/articles/002407/2007-05-08/
12641;5754;Juriens;Juriens;dhs-002537;commune;https://hls-dhs-dss.ch/fr/articles/002537/2009-02-19/
12590;5871;L'Abbaye;Abbaye, L';dhs-002609;commune;https://hls-dhs-dss.ch/fr/articles/002609/2009-06-23/
12599;5741;L'Abergement;Abergement, L';dhs-002525;commune;https://hls-dhs-dss.ch/fr/articles/002525/2009-06-23/
12600;5486;L'Isle;Isle, L';dhs-002336;commune;https://hls-dhs-dss.ch/fr/articles/002336/2007-02-05/
9585;9999;La Chaux (VD);Chaux, La (Cossonay);dhs-002324;commune;https://hls-dhs-dss.ch/fr/articles/002324/2005-05-03/
12589;5758;La Praz;Praz, La;dhs-002541;commune;https://hls-dhs-dss.ch/fr/articles/002541/2013-03-14/
12581;5726;La Rippe;Rippe, La;dhs-002518;commune;https://hls-dhs-dss.ch/fr/articles/002518/2010-11-11/
12583;5797;La Rogivue;Rogivue, La;dhs-002566;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002566/2010-02-15/
12585;5498;La Sarraz;Sarraz, La (commune);dhs-002348;commune;https://hls-dhs-dss.ch/fr/articles/002348/2010-03-16/
12586;5889;La Tour-de-Peilz;Tour-de-Peilz, La;dhs-002619;commune;https://hls-dhs-dss.ch/fr/articles/002619/2014-02-25/
12614;5586;Lausanne;Lausanne (commune);dhs-002408;commune;https://hls-dhs-dss.ch/fr/articles/002408/2009-04-02/
9983;9999;Lavey;Lavey-Morcles;dhs-045882;commune;https://hls-dhs-dss.ch/fr/articles/045882/2009-03-18/
12608;5637;Lavigny;Lavigny;dhs-002442;commune;https://hls-dhs-dss.ch/fr/articles/002442/2006-05-15/
12621;5872;Le Chenit;Chenit, Le;dhs-002610;commune;https://hls-dhs-dss.ch/fr/articles/002610/2010-03-03/
9586;9999;Le Châtelard-Montreux;Châtelard, Le (VD);dhs-003327;ancienne commune;https://hls-dhs-dss.ch/fr/articles/003327/2005-09-08/
12615;5873;Le Lieu;Lieu, Le;dhs-002611;commune;https://hls-dhs-dss.ch/fr/articles/002611/2009-03-24/
12617;5587;Le Mont-sur-Lausanne;Mont-sur-Lausanne, Le;dhs-002409;commune;https://hls-dhs-dss.ch/fr/articles/002409/2008-12-02/
12719;5731;Le Vaud;Vaud, Le;dhs-002523;commune;https://hls-dhs-dss.ch/fr/articles/002523/2013-02-22/
12794;5750;Les Clées;Clées, Les;dhs-002534;commune;https://hls-dhs-dss.ch/fr/articles/002534/2011-02-02/
12795;5786;Les Cullayes;Cullayes, Les;dhs-002555;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002555/2017-01-05/
9587;9999;Les Planches;Planches, Les;dhs-007564;ancienne commune;https://hls-dhs-dss.ch/fr/articles/007564/2010-02-11/
12770;5800;Les Tavernes;Tavernes, Les;dhs-002569;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002569/2017-01-05/
12771;5801;Les Thioleyres;Thioleyres, Les;dhs-002570;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002570/2017-01-05/
12799;5407;Leysin;Leysin;dhs-002282;commune;https://hls-dhs-dss.ch/fr/articles/002282/2007-07-30/
12818;5755;Lignerolle;Lignerolle;dhs-002538;commune;https://hls-dhs-dss.ch/fr/articles/002538/2009-03-24/
12813;5638;Lonay;Lonay;dhs-002443;commune;https://hls-dhs-dss.ch/fr/articles/002443/2009-03-26/
12805;5429;Longirod;Longirod;dhs-002299;commune;https://hls-dhs-dss.ch/fr/articles/002299/2008-02-06/
12811;5674;Lovatens;Lovatens;dhs-002474;commune;https://hls-dhs-dss.ch/fr/articles/002474/2008-02-07/
12758;5675;Lucens;Lucens;dhs-002475;commune;https://hls-dhs-dss.ch/fr/articles/002475/2017-02-06/
12722;5858;Luins;Luins;dhs-002603;commune;https://hls-dhs-dss.ch/fr/articles/002603/2010-02-16/
12733;5639;Lully (VD);Lully (VD);dhs-002444;commune;https://hls-dhs-dss.ch/fr/articles/002444/2008-07-23/
12729;5487;Lussery;Lussery;dhs-002337;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002337/2009-12-01/
9588;9999;Lussy (VD);Lussy-sur-Morges;dhs-002445;commune;https://hls-dhs-dss.ch/fr/articles/002445/2006-05-15/
12704;5606;Lutry;Lutry;dhs-002420;commune;https://hls-dhs-dss.ch/fr/articles/002420/2010-02-16/
12703;5526;Malapalud;Malapalud;dhs-002369;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002369/2017-01-04/
12757;5790;Maracon;Maracon;dhs-002559;commune;https://hls-dhs-dss.ch/fr/articles/002559/2008-09-01/
